sample_id,treatment,Temperature,log_OD
1,no_antibiotic,25,0.545
2,no_antibiotic,25,0.509
3,no_antibiotic,25,0.527
4,no_antibiotic,25,0.573
5,no_antibiotic,25,0.46
6,no_antibiotic,25,0.675
7,erythromycin,25,0.554
8,erythromycin,25,0.585
9,erythromycin,25,0.558
10,erythromycin,25,0.595
11,erythromycin,25,1.443
12,erythromycin,25,0.591
13,no_antibiotic,30,0.851
14,no_antibiotic,30,0.845
15,no_antibiotic,30,0.798
16,no_antibiotic,30,0.874
17,no_antibiotic,30,0.825
18,no_antibiotic,30,0.836
19,erythromycin,30,0.752
20,erythromycin,30,0.789
21,erythromycin,30,0.679
22,erythromycin,30,0.782
23,erythromycin,30,0.75
24,erythromycin,30,0.691
25,no_antibiotic,37,1.209
26,no_antibiotic,37,1.192
27,no_antibiotic,37,1.152
28,no_antibiotic,37,1.105
29,no_antibiotic,37,1.129
30,no_antibiotic,37,1.118
31,erythromycin,37,1.047
32,erythromycin,37,0.931
33,erythromycin,37,1.003
34,erythromycin,37,0.866
35,erythromycin,37,0.98
36,erythromycin,37,1.03
37,no_antibiotic,40,1.011
38,no_antibiotic,40,0.94
39,no_antibiotic,40,1.001
40,no_antibiotic,40,1.036
41,no_antibiotic,40,1.005
42,no_antibiotic,40,1.005
43,erythromycin,40,0.804
44,erythromycin,40,0.8
45,erythromycin,40,0.756
46,erythromycin,40,0.82
47,erythromycin,40,0.843
48,erythromycin,40,0.84
49,no_antibiotic,45,0.637
50,no_antibiotic,45,0.68
51,no_antibiotic,45,0.752
52,no_antibiotic,45,0.625
53,no_antibiotic,45,0.706
54,no_antibiotic,45,0.659
55,erythromycin,45,0.443
56,erythromycin,45,0.407
57,erythromycin,45,0.453
58,erythromycin,45,0.446
59,erythromycin,45,0.398
60,erythromycin,45,0.424
61,no_antibiotic,50,0.41
62,no_antibiotic,50,0.465
63,no_antibiotic,50,0.415
64,no_antibiotic,50,0.37
65,no_antibiotic,50,0.399
66,no_antibiotic,50,0.484
67,erythromycin,50,0.105
68,erythromycin,50,0.084
69,erythromycin,50,0.046
70,erythromycin,50,0.02
71,erythromycin,50,0.088
72,erythromycin,50,0.085
73,no_antibiotic,55,0.154
74,no_antibiotic,55,0.218
75,no_antibiotic,55,0.268
76,no_antibiotic,55,0.225
77,no_antibiotic,55,0.217
78,no_antibiotic,55,0.239
79,erythromycin,55,0.068
80,erythromycin,55,0.082
81,erythromycin,55,0.029
82,erythromycin,55,0.055
83,erythromycin,55,0.02
84,erythromycin,55,0.02
